更新日時,便名,出航時刻,発地,船種,到着港,運航状況,備考,行き先,出帆港
2023-07-05T03:53+09:00,大島行き,08:50,東京発,ジェット船 1220便,---,---,6時頃運航決定　残席僅か,,
2023-07-05T03:53+09:00,大島行き,09:10,熱海発,ジェット船 1100便,---,---,6時頃運航決定　空席あり　,,
2023-07-05T03:53+09:00,大島行き,14:15,東京発,ジェット船 1230便,---,---,6時頃運航決定　空席あり,,
2023-07-05T03:53+09:00,大島行き,22:00,東京発（昨晩）発,大型客船 3000便,---,---,【7/6迄運休日】,,
2023-07-05T03:53+09:00,大島行き,22:00,東京発（今晩）発,大型客船 3000便,---,---,【7/6迄運休日】,,
2023-07-05T03:53+09:00,大島発,10:30,,ジェット船 2210便,,---,6時頃運航決定,東京行,---
2023-07-05T03:53+09:00,大島発,16:30,,ジェット船 2220便,,---,6時頃運航決定,東京行,---
2023-07-05T03:53+09:00,大島発,16:15,,ジェット船 2110便,,---,6時頃運航決定,熱海行,---
2023-07-05T03:53+09:00,大島発,14:30,,大型客船 2000便さるびあ丸,,---,【7/7迄運休日】,東京行,---
